DATE,DRCCLACBS
1991-01-01,5.26
1991-04-01,5.48
1991-07-01,5.35
1991-10-01,5.32
1992-01-01,5.27
1992-04-01,5.1
1992-07-01,4.98
1992-10-01,4.69
1993-01-01,4.6
1993-04-01,4.46
1993-07-01,4.08
1993-10-01,3.91
1994-01-01,3.6
1994-04-01,3.29
1994-07-01,3.25
1994-10-01,3.29
1995-01-01,3.48
1995-04-01,3.7
1995-07-01,3.85
1995-10-01,3.95
1996-01-01,4.04
1996-04-01,4.27
1996-07-01,4.46
1996-10-01,4.6
1997-01-01,4.7
1997-04-01,4.73
1997-07-01,4.7
1997-10-01,4.81
1998-01-01,4.76
1998-04-01,4.76
1998-07-01,4.72
1998-10-01,4.74
1999-01-01,4.66
1999-04-01,4.58
1999-07-01,4.6
1999-10-01,4.55
2000-01-01,4.43
2000-04-01,4.51
2000-07-01,4.53
2000-10-01,4.57
2001-01-01,4.81
2001-04-01,4.94
2001-07-01,5.0
2001-10-01,4.69
2002-01-01,4.94
2002-04-01,4.78
2002-07-01,4.89
2002-10-01,4.84
2003-01-01,4.68
2003-04-01,4.53
