DATE,GDP
1947-01-01,243.164
1947-04-01,245.968
1947-07-01,249.585
1947-10-01,259.745
1948-01-01,265.742
1948-04-01,272.567
1948-07-01,279.196
1948-10-01,280.366
1949-01-01,275.034
1949-04-01,271.351
1949-07-01,272.889
1949-10-01,270.627
1950-01-01,280.828
1950-04-01,290.383
1950-07-01,308.153
1950-10-01,319.945
1951-01-01,336.0
1951-04-01,344.09
1951-07-01,351.385
1951-10-01,356.178
1952-01-01,359.82
1952-04-01,361.03
1952-07-01,367.701
1952-10-01,380.812
1953-01-01,387.98
1953-04-01,391.749
1953-07-01,391.171
1953-10-01,385.97
1954-01-01,385.345
1954-04-01,386.121
1954-07-01,390.996
1954-10-01,399.734
1955-01-01,413.073
1955-04-01,421.532
1955-07-01,430.221
1955-10-01,437.092
1956-01-01,439.746
1956-04-01,446.01
1956-07-01,451.191
1956-10-01,460.463
1957-01-01,469.779
1957-04-01,472.025
1957-07-01,479.49
1957-10-01,474.864
1958-01-01,467.54
1958-04-01,471.978
1958-07-01,485.841
1958-10-01,499.555
1959-01-01,510.33
1959-04-01,522.653
