DATE,MSPUS
1963-01-01,17800.0
1963-04-01,18000.0
1963-07-01,17900.0
1963-10-01,18500.0
1964-01-01,18500.0
1964-04-01,18900.0
1964-07-01,18900.0
1964-10-01,19400.0
1965-01-01,20200.0
1965-04-01,19800.0
1965-07-01,20200.0
1965-10-01,20300.0
1966-01-01,21000.0
1966-04-01,22100.0
1966-07-01,21500.0
1966-10-01,21400.0
1967-01-01,22300.0
1967-04-01,23300.0
1967-07-01,22500.0
1967-10-01,22900.0
1968-01-01,23900.0
1968-04-01,24900.0
1968-07-01,24800.0
1968-10-01,25600.0
1969-01-01,25700.0
1969-04-01,25900.0
1969-07-01,25900.0
1969-10-01,24900.0
1970-01-01,23900.0
1970-04-01,24400.0
1970-07-01,23000.0
1970-10-01,22600.0
1971-01-01,24300.0
1971-04-01,25800.0
1971-07-01,25300.0
1971-10-01,25500.0
1972-01-01,26200.0
1972-04-01,26800.0
1972-07-01,27900.0
1972-10-01,29200.0
1973-01-01,30200.0
1973-04-01,32700.0
1973-07-01,33500.0
1973-10-01,34000.0
1974-01-01,35200.0
1974-04-01,35600.0
1974-07-01,36200.0
1974-10-01,37200.0
1975-01-01,38100.0
1975-04-01,39000.0
