DATE,RSXFS
1992-01-01,146925.0
1992-02-01,147223.0
1992-03-01,146805.0
1992-04-01,148032.0
1992-05-01,149010.0
1992-06-01,149800.0
1992-07-01,150761.0
1992-08-01,151067.0
1992-09-01,152588.0
1992-10-01,153521.0
1992-11-01,153583.0
1992-12-01,155614.0
1993-01-01,157555.0
1993-02-01,156266.0
1993-03-01,154752.0
1993-04-01,158979.0
1993-05-01,160605.0
1993-06-01,160127.0
1993-07-01,162816.0
1993-08-01,162506.0
1993-09-01,163258.0
1993-10-01,164685.0
1993-11-01,166594.0
1993-12-01,168161.0
1994-01-01,167518.0
1994-02-01,169649.0
1994-03-01,172766.0
1994-04-01,173106.0
1994-05-01,172329.0
1994-06-01,174241.0
1994-07-01,174781.0
1994-08-01,177295.0
1994-09-01,178787.0
1994-10-01,180561.0
1994-11-01,180703.0
1994-12-01,181524.0
1995-01-01,182413.0
1995-02-01,179488.0
1995-03-01,181013.0
1995-04-01,181686.0
1995-05-01,183536.0
1995-06-01,186081.0
1995-07-01,185431.0
1995-08-01,186806.0
1995-09-01,187366.0
1995-10-01,186565.0
1995-11-01,189055.0
1995-12-01,190774.0
1996-01-01,189135.0
1996-02-01,192266.0
