DATE,WILL5000PR
2019-05-23,28926.79
2019-05-24,28984.96
2019-05-27,.
2019-05-28,28751.19
2019-05-29,28545.88
2019-05-30,28587.92
2019-05-31,28217.60
2019-06-03,28140.90
2019-06-04,28764.15
2019-06-05,28973.92
2019-06-06,29129.74
2019-06-07,29419.63
2019-06-10,29565.01
2019-06-11,29545.09
2019-06-12,29488.98
2019-06-13,29623.62
2019-06-14,29551.41
2019-06-17,29594.83
2019-06-18,29890.73
2019-06-19,29985.91
2019-06-20,30251.55
2019-06-21,30181.84
2019-06-24,30089.66
2019-06-25,29807.53
2019-06-26,29772.87
2019-06-27,29938.51
2019-06-28,30135.48
2019-07-01,30355.71
2019-07-02,30421.89
2019-07-03,30659.44
2019-07-04,.
2019-07-05,30623.23
2019-07-08,30459.38
2019-07-09,30510.66
2019-07-10,30635.91
2019-07-11,30682.06
2019-07-12,30835.44
2019-07-15,30827.04
2019-07-16,30731.50
2019-07-17,30538.03
2019-07-18,30642.98
2019-07-19,30456.95
2019-07-22,30531.95
2019-07-23,30743.94
2019-07-24,30931.90
2019-07-25,30744.19
2019-07-26,30989.64
2019-07-29,30911.55
2019-07-30,30871.02
2019-07-31,30550.75
2019-08-01,30246.82
2019-08-02,30007.47
2019-08-05,29106.26
2019-08-06,29480.35
2019-08-07,29506.09
2019-08-08,30072.38
2019-08-09,29853.71
2019-08-12,29484.65
2019-08-13,29903.83
2019-08-14,29034.08
2019-08-15,29082.65
2019-08-16,29521.66
2019-08-19,29864.17
2019-08-20,29631.81
2019-08-21,29878.31
2019-08-22,29862.57
2019-08-23,29083.11
2019-08-26,29393.35
2019-08-27,29260.53
2019-08-28,29457.96
2019-08-29,29842.21
2019-08-30,29857.78
2019-09-02,.
2019-09-03,29633.81
2019-09-04,29951.05
2019-09-05,30348.85
2019-09-06,30355.92
2019-09-09,30383.82
2019-09-10,30423.43
2019-09-11,30676.66
2019-09-12,30744.62
2019-09-13,30721.77
2019-09-16,30661.29
2019-09-17,30725.67
2019-09-18,30718.76
2019-09-19,30709.44
2019-09-20,30571.04
2019-09-23,30570.96
2019-09-24,30285.28
2019-09-25,30490.25
2019-09-26,30391.78
2019-09-27,30208.88
2019-09-30,30355.57
2019-10-01,29966.64
2019-10-02,29460.15
2019-10-03,29692.04
2019-10-04,30096.10
2019-10-07,29975.79
2019-10-08,29508.16
2019-10-09,29763.85
2019-10-10,29939.25
2019-10-11,30287.22
2019-10-14,30238.98
2019-10-15,30538.34
2019-10-16,30469.13
2019-10-17,30579.59
2019-10-18,30459.07
2019-10-21,30677.21
2019-10-22,30577.00
2019-10-23,30655.06
2019-10-24,30726.63
2019-10-25,30861.00
2019-10-28,31039.29
2019-10-29,31011.17
2019-10-30,31093.40
2019-10-31,30983.59
2019-11-01,31304.09
2019-11-04,31422.58
2019-11-05,31391.79
2019-11-06,31386.27
2019-11-07,31471.07
2019-11-08,31556.18
2019-11-11,31501.39
2019-11-12,31541.65
2019-11-13,31548.95
2019-11-14,31574.41
2019-11-15,31807.01
2019-11-18,31818.38
2019-11-19,31819.55
2019-11-20,31709.33
2019-11-21,31646.30
2019-11-22,31716.85
2019-11-25,31990.01
2019-11-26,32064.19
2019-11-27,32205.05
2019-11-28,.
2019-11-29,32064.26
2019-12-02,31779.81
2019-12-03,31582.73
2019-12-04,31774.92
2019-12-05,31815.45
2019-12-06,32103.71
2019-12-09,32005.05
2019-12-10,31974.76
2019-12-11,32052.45
2019-12-12,32314.50
2019-12-13,32302.57
2019-12-16,32540.15
2019-12-17,32562.74
2019-12-18,32559.54
2019-12-19,32703.85
2019-12-20,32860.41
2019-12-23,32890.30
2019-12-24,32891.73
2019-12-25,.
2019-12-26,33053.52
2019-12-27,33033.31
2019-12-30,32851.56
2019-12-31,32948.41
2020-01-01,.
2020-01-02,33203.76
2020-01-03,32997.21
2020-01-06,33107.98
2020-01-07,33025.73
2020-01-08,33180.84
2020-01-09,33385.61
2020-01-10,33291.10
2020-01-13,33536.70
2020-01-14,33508.16
2020-01-15,33571.76
2020-01-16,33866.95
2020-01-17,33969.93
2020-01-20,.
2020-01-21,33878.03
2020-01-22,33891.04
2020-01-23,33930.82
2020-01-24,33614.74
2020-01-27,33100.65
2020-01-28,33428.48
2020-01-29,33393.57
2020-01-30,33498.40
2020-01-31,32913.47
2020-02-03,33162.99
2020-02-04,33669.71
2020-02-05,34007.60
2020-02-06,34103.96
2020-02-07,33914.63
2020-02-10,34163.99
2020-02-11,34242.71
2020-02-12,34470.09
2020-02-13,34436.70
2020-02-14,34497.80
2020-02-17,.
2020-02-18,34416.01
2020-02-19,34581.20
2020-02-20,34480.67
2020-02-21,34116.85
2020-02-24,32987.49
2020-02-25,31966.95
2020-02-26,31800.51
2020-02-27,30420.72
2020-02-28,30151.73
2020-03-02,31480.79
2020-03-03,30627.55
2020-03-04,31871.05
2020-03-05,30797.53
2020-03-06,30251.04
2020-03-09,27885.59
2020-03-10,29218.09
2020-03-11,27729.07
2020-03-12,25044.25
2020-03-13,27318.22
2020-03-16,23961.46
2020-03-17,25354.81
2020-03-18,23891.02
2020-03-19,24154.84
2020-03-20,23126.46
2020-03-23,22482.20
2020-03-24,24595.63
2020-03-25,24934.78
2020-03-26,26478.00
2020-03-27,25597.13
2020-03-30,26392.08
2020-03-31,25995.73
2020-04-01,24796.49
2020-04-02,25308.46
2020-04-03,24878.92
2020-04-06,26650.37
2020-04-07,26632.50
2020-04-08,27574.96
2020-04-09,28053.77
2020-04-10,.
2020-04-13,27741.00
2020-04-14,28572.77
2020-04-15,27923.30
2020-04-16,28066.51
2020-04-17,28842.95
2020-04-20,28348.57
2020-04-21,27489.83
2020-04-22,28115.35
2020-04-23,28131.74
