name,depends_on
stg_government_bailout_stimulus,seed.dbt_project.raw_government_bailout_stimulus
stg_gdp,seed.dbt_project.raw_gdp
stg_employment_cost_index,seed.dbt_project.raw_employment_cost_index
stg_nonfarm_payrolls,seed.dbt_project.raw_nonfarm_payrolls
stg_job_openings,seed.dbt_project.raw_job_openings
stg_exchange_rate_usd_to_eur,seed.dbt_project.raw_exchange_rate_usd_to_eur
stg_stock_prices,seed.dbt_project.raw_stock_data
stg_labor_force_participation_rate,seed.dbt_project.raw_labor_force_participation_rate
stg_average_hourly_earnings,seed.dbt_project.raw_average_hourly_earnings
stg_quarterly_stock_returns,model.dbt_project.stg_stock_returns
stg_average_weekly_earnings,seed.dbt_project.raw_average_weekly_earnings
stg_cpi,seed.dbt_project.raw_cpi
stg_discouraged_workers,seed.dbt_project.raw_discouraged_workers
stg_marginally_attached_workers,seed.dbt_project.raw_marginally_attached_workers
stg_stock_returns,seed.dbt_project.raw_stock_data
stg_stock_data,seed.dbt_project.raw_stock_data
stg_total_wages_and_salaries,seed.dbt_project.raw_total_wages_and_salaries
stg_consumer_spending,seed.dbt_project.raw_consumer_spending
stg_10_year_treasury_constant_maturity_rate,seed.dbt_project.raw_10_year_treasury_constant_maturity_rate
stg_unemployment_rate,seed.dbt_project.raw_unemployment_rate
stg_raw_table_list,
stg_underemployment_rate,seed.dbt_project.raw_underemployment_rate
dbt_models,model.dbt_project.int_combined_dbt_tables
sector_growth_last_decade,model.dbt_project.stg_stock_data
final_stock_gdp_data,"model.dbt_project.stg_gdp,model.dbt_project.stg_quarterly_stock_returns"
economic_indicators,"model.dbt_project.stg_gdp,model.dbt_project.stg_unemployment_rate,model.dbt_project.stg_cpi,model.dbt_project.stg_consumer_spending,model.dbt_project.stg_10_year_treasury_constant_maturity_rate,model.dbt_project.stg_exchange_rate_usd_to_eur,model.dbt_project.stg_federal_funds_effective_rate"
mrt_stock_economic_correlations,"seed.dbt_project.raw_stock_data,seed.dbt_project.raw_gdp,seed.dbt_project.raw_unemployment_rate,seed.dbt_project.raw_cpi"
stock_performance,seed.dbt_project.raw_stock_data
mrt_stock_cpi,"seed.dbt_project.raw_stock_data,seed.dbt_project.raw_cpi"
mrt_stock_unemployment,"seed.dbt_project.raw_stock_data,seed.dbt_project.raw_unemployment_rate"
gdp_growth,seed.dbt_project.raw_gdp
mrt_stock_gdp,"seed.dbt_project.raw_stock_data,seed.dbt_project.raw_gdp"
stock_financials,model.dbt_project.stg_stock_data
economic_indicators_with_sector,"model.dbt_project.economic_indicators,model.dbt_project.stg_stock_data"
itm_stock_gdp_correlation,"seed.dbt_project.raw_stock_data,seed.dbt_project.raw_gdp,seed.dbt_project.raw_unemployment_rate,seed.dbt_project.raw_cpi"
itm_cumulative_metrics,model.dbt_project.stg_stock_data
itm_stock_cpi_join,model.dbt_project.itm_cumulative_metrics
itm_stock_unemployment_join,model.dbt_project.itm_cumulative_metrics
itm_stock_gdp_join,model.dbt_project.itm_cumulative_metrics
int_combined_dbt_tables,"seed.dbt_project.raw_dbt_manifest,model.dbt_project.stg_raw_table_list"
agg_stock_performance,model.dbt_project.stg_stock_data
agg_economic_indicators,"model.dbt_project.stg_gdp,model.dbt_project.stg_cpi,model.dbt_project.stg_unemployment_rate,model.dbt_project.stg_average_hourly_earnings,model.dbt_project.stg_average_weekly_earnings,model.dbt_project.stg_employment_cost_index,model.dbt_project.stg_job_openings,model.dbt_project.stg_nonfarm_payrolls,model.dbt_project.stg_total_wages_and_salaries"
stg_federal_funds_effective_rate,seed.dbt_project.raw_federal_funds_effective_rate
jobs_analysis,model.dbt_project.int_jobs_analysis
int_jobs_analysis,"model.dbt_project.stg_labor_force_participation_rate,model.dbt_project.stg_discouraged_workers,model.dbt_project.stg_marginally_attached_workers,model.dbt_project.stg_underemployment_rate,model.dbt_project.stg_federal_funds_effective_rate,model.dbt_project.stg_10_year_treasury_constant_maturity_rate,model.dbt_project.stg_job_openings,model.dbt_project.stg_unemployment_rate"
